"lang"
{
  "Language"    "tchinese"
    "TTT_SEARCH_RADAR"                "他持有像是雷達的物品。已經無法使用了。"
    "TTT_SEARCH_C4"                   "您在他口袋中找到了一本筆記。記載著線路 %d 是解除炸彈須剪除的一條。"
    "TTT_SEARCH_DMG_CRUSH"            "他多處骨折。看起來是某種重物的衝擊撞死了他。"
    "TTT_SEARCH_DMG_BULLET"           "他很明顯是被射殺身亡的。"
    "TTT_SEARCH_DMG_FALL"             "他是墜落身亡的。"
    "TTT_SEARCH_DMG_BOOM"             "他的傷口以及燒焦的衣物，應是爆炸導致其死亡。"
    "TTT_SEARCH_DMG_CLUB"             "他的身體有許多擦傷打擊痕跡，明顯是被毆打致死的。"
    "TTT_SEARCH_DMG_DROWN"            "他身上的蛛絲馬跡顯示是溺死的。"
    "TTT_SEARCH_DMG_STAB"             "他是被刺擊與揮砍後，迅速失血致死的。"
    "TTT_SEARCH_DMG_BURN"             "聞起來有燒焦的恐怖分子在附近.."
    "TTT_SEARCH_DMG_TELE"             "看起來他的DNA以超光速粒子之形式散亂在附近。"
    "TTT_SEARCH_DMG_OTHER"            "您無法找到這恐怖份子的具體死因。"
    "TTT_SEARCH_WEAPON"               "這顯示死者是被 %s 所殺。"
    "TTT_SEARCH_HEAD"                 "最嚴重的傷口在頭部。完全沒機會叫喊。"
    "TTT_SEARCH_TIME"                 "他大約死於您進行搜索的 %s 前。"
    "TTT_SEARCH_DNA"                  "用DNA掃描器檢索兇手的DNA標本，DNA樣本大約在 %s 前開始衰退。"
    "TTT_SEARCH_KILLS1"               "您找到一個名單，記載著他發現的死者： %s"
    "TTT_SEARCH_KILLS2"               "您找到了一個名單，記載著他殺的這些人:"
    "TTT_SEARCH_EYES"                 "透過您的探查技能，您確信他臨死前見到的最後一個人： %s 。是兇手，還是巧合？"
    // Scoreboard
    "TTT_SB_PLAYING"                  "您正在玩的伺服是 "
    "TTT_SB_MAPCHANGE"                "地圖將於 %d 個回合或是 %s 後更換"
    "TTT_SB_MIA"                      "下落不明"
    "TTT_SB_CONFIRMED"                "確認死亡"
    "TTT_SB_PING"                     "Ping"
    "TTT_SB_DEATHS"                   "死亡數"
    "TTT_SB_SCORE"                    "分數"
    "TTT_SB_KARMA"                    "業值"
    "TTT_SB_INFO_HELP"                "搜索此玩家的屍體，可以獲取一些線索。"
    "TTT_SB_TAG_FRIEND"               "可信任者"
    "TTT_SB_TAG_SUSP"                 "有嫌疑者"
    "TTT_SB_TAG_AVOID"                "應迴避者"
    "TTT_SB_TAG_KILL"                 "已死者"
    "TTT_SB_TAG_MISS"                 "失蹤者"
    // "TTT_SB_STATUS_ADMIN"                         ""
    // "TTT_SB_STATUS_DEV"                           ""
    // "TTT_SB_STATUS_MAPPER"                        ""
    // "TTT_SB_SORTBY"                               ""
    // Help and settings menu (F1)
    "TTT_HELP_TITLE"                  "幫助與設定"
    "TTT_HELP_TUT"                    "遊戲教學"
    "TTT_HELP_TUT_TIP"                "遊玩TTT的六步心法"
    // Settings
    "TTT_SET_TIPS"                    "旁觀時，在螢幕下方顯示遊戲提示"
    "TTT_SET_STARTPOPUP"              "開局提示延遲"
    "TTT_SET_CROSS_DISABLE"           "關閉準心"
    "TTT_SET_MINIMAL_ID"              "只在準心下顯示所對準之目標的ID（如業值，提示等）"
    "TTT_SET_HEALTHLABEL"             "在生命條旁顯示健康狀態（如受傷，接近死亡等）"
    "TTT_SET_FASTSW"                  "快速切換武器"
    "TTT_SET_FASTSW_MENU"             "啟用快速切換武器選單"
    "TTT_SET_WSWITCH"                 "關閉武器切換自動關閉"
    "TTT_SET_CUES"                    "在回合開始或結束時發出指示聲音"
    // "TTT_SET_MSG_CUE"                             ""
    "TTT_SET_SPECMODE"                "旁觀者模式（始終作為觀察者 ）"
    "TTT_SET_AVOID_DET"               "拒絕被選為探長"
    // Weapons and equipment, HUD and messages
    "TTT_BUY_NO_STOCK"                "無法購買此武器：您已擁有它了。"
    "TTT_BUY_RECEIVED"                "您已收到此裝備。"
    // "TTT_BUY_NOT_ACTIVE"                          ""
    // "TTT_BUY_INNOCENT"                            ""
    // "TTT_BUY_WRONG_ROLE"                          ""
    // "TTT_EQUIP_CANNOT_AFFORD"                     ""
    "TTT_DROP_NO_ROOM"                "您沒有足夠空間存放新武器！"
    // "TTT_DROP_NO_ROOM_AMMO"                       ""
    "TTT_DISG_TURNED_ON"              "偽裝開啟！"
    "TTT_DISG_TURNED_OFF"             "偽裝關閉。"
    "TTT_DROP_NO_AMMO"                "當武器快沒子彈的時候，點擊後將他丟掉並變成彈藥包。"
    "TTT_HAT_RETRIEVE"                "您撿起了一頂探長的帽子。"
    // Equipment item descriptions
    "TTT_ITEM_PASSIVE"                "被動效果型物品"
    "TTT_ITEM_ACTIVE"                 "主動操作型物品"
    "TTT_ITEM_WEAPON"                 "武器"
    "TTT_ITEM_ARMOR"                  "身體裝甲"
    "TTT_ITEM_ARMOR_DESC"             "擁有它， 您將減少30%的射擊傷害。 探長的預設裝備。"
    "TTT_ITEM_RADAR"                  "雷達"
    "TTT_ITEM_RADAR_DESC"             "允許您掃描生命訊號。 一旦持有，它將自動掃描。 需要啟用時，可在選單設定它"
    "TTT_ITEM_DISG"                   "偽裝"
    "TTT_ITEM_DISG_DESC"              "啟用時，您的ID將被隱藏；也可避免探長在 屍體上找到死者生前見到的最後一個人。\n\n需要啟用時：在選單裡標記偽裝選項，或是按下 相關數字鍵。"
    // C4
    // "TTT_C4_NAME"                                 ""
    "TTT_C4_HINT"                     "按下 %s 來裝置或拆除C4。"
    "TTT_C4_NO_DISARM"                "在其他叛徒死前，您無法拆除他的C4。"
    "TTT_C4_DISARM_WARN"              "您所裝置的C4已被拆除。"
    "TTT_C4_ARMED"                    "C4裝置成功。"
    "TTT_C4_DISARMED"                 "您成功拆除了C4。"
    "TTT_C4_NO_ROOM"                  "您無法攜帶C4。"
    "TTT_C4_DESC"                     "C4爆炸！"
    "TTT_C4_ARM"                      "裝置C4。"
    "TTT_C4_ARM_TIMER"                "計時器"
    "TTT_C4_ARM_SECONDS"              "引爆秒數："
    "TTT_C4_ARM_ATTEMPTS"             "拆除C4時，六條引線中有 %d 條會立即引發爆炸。"
    "TTT_C4_REMOVE_TITLE"             "移除"
    "TTT_C4_REMOVE_PICKUP"            "撿起C4"
    "TTT_C4_REMOVE_DESTROY1"          "銷毀C4"
    "TTT_C4_REMOVE_DESTROY2"          "確認：銷毀"
    "TTT_C4_DISARM"                   "拆除C4"
    "TTT_C4_DISARM_CUT"               "點擊以剪斷 %d 號引線"
    "TTT_C4_DISARM_T"                 "剪斷引線以拆除C4。您是叛徒，當然每條引線都是安全的，但其他人可就沒那麼容易了！"
    "TTT_C4_DISARM_OWNED"             "剪斷引線以拆除C4。您是裝置此C4的人，細節瞭然於胸，任一條引線都可成功拆除。"
    "TTT_C4_DISARM_OTHER"             "剪斷正確的引線以拆除C4。倘若您犯了錯，後果將不堪設想唷！"
    "TTT_C4_STATUS_ARMED"             "裝置"
    "TTT_C4_STATUS_DISARMED"          "拆除"
    // Visualizer
    "TTT_VIS_NAME"                    "顯像器"
    "TTT_VIS_HINT"                    "按下 %s 鍵撿起它（僅限於偵探）。"
    "TTT_VIS_HELP_PRI"                " %s 扔出已啟動的儀器。"
    "TTT_VIS_DESC"                    "可讓犯罪現場顯像化的儀器。\n\n分析屍體，顯像出死者被殺害時的情況， 但僅限於死者遭到射殺時。"
    // Decoy
    "TTT_DECOY_NAME"                  "雷達誘餌"
    // "TTT_DECOY_HINT"                              ""
    "TTT_DECOY_NO_ROOM"               "您無法攜帶雷達誘餌。"
    "TTT_DECOY_BROKEN"                "您的雷達誘餌已被摧毀！"
    "TTT_DECOY_HELP_PRI"              " %s 裝置了雷達誘餌"
    "TTT_DECOY_DESC"                  "顯示假的雷達信號給探長，\n\n探長執行DNA掃描時， 將會顯示雷達誘餌的位置作為代替。"
    // Defuser
    "TTT_DEFUSER_NAME"                "拆彈器"
    "TTT_DEFUSER_HELP"                " %s 拆除目標炸彈。"
    "TTT_DEFUSER_DESC"                "迅速拆除一個C4。 不限制使用次數。若您持有此設備， 拆除C4時會輕鬆許多。"
    // Flare gun
    "TTT_FLARE_NAME"                  "信號槍"
    "TTT_FLARE_DESC"                  "可用來燒毀屍體，使它們永遠不會被發現。該武器有彈藥限制 有彈藥限制。 燃燒屍體時，會發出極度明顯的聲音。"
    // Health station
    "TTT_HSTATION_NAME"               "醫療站"
    "TTT_HSTATION_HINT"               "按下 %s 恢復健康。剩餘存量： %d"
    "TTT_HSTATION_BROKEN"             "您的醫療站已被摧毀！"
    "TTT_HSTATION_HELP"               " %s 裝置了一個醫療站。"
    "TTT_HSTATION_DESC"               "設置後，允許人們前來治療。 恢復速度相當緩慢。 所有人都可以使用，且醫療站本身也會受損。 不僅如此，它亦可以檢驗每位使用者的DNA樣本。"
    // Knife
    "TTT_KNIFE_NAME"                  "刀子"
    "TTT_KNIFE_THROWN"                "飛刀"
    "TTT_KNIFE_DESC"                  "可以迅速、無聲的殺死受傷的目標，但只能使用一次。 按下右鍵即可使用飛刀。"
    // "TTT_KNIFE_HELP_PRI"                          ""
    // "TTT_KNIFE_HELP_SEC"                          ""
    // "TTT_KNIFE_INSTANT"                           ""
    // Radio
    "TTT_RADIO_BROKEN"                "您的收音機已被摧毀！"
    // "TTT_RADIO_HINT"                              ""
    // "TTT_RADIO_HELP_PRI"                              ""
    // "TTT_RADIO_HELP_SEC"                          ""
    "TTT_RADIO_DESC"                  "播放音樂使人們分心、誤導。 將收音機置於某處， 在選單使用收音機並播放音樂。"
    // Silenced pistol
    "TTT_SIPISTOL_NAME"               "消音手槍"
    "TTT_SIPISTOL_DESC"               "噪音極小的手槍。 使用一般的手槍彈藥。 被害者被射殺時不會喊叫。"
    // Newton launcher
    "TTT_NEWTON_NAME"                 "牛頓發射器"
    "TTT_NEWTON_DESC"                 "推擊一個人，以換取安全距離。 彈藥無限，但射擊間隔較長。"
    // "TTT_NEWTON_FORCE"                            ""
    // "TTT_NEWTON_HELP_PRI"                         ""
    // "TTT_NEWTON_HELP_SEC"                         ""
    // Binoculars
    "TTT_BINOC_NAME"                  "雙筒望遠鏡"
    "TTT_BINOC_DESC"                  "拉近鏡頭，可遠距離觀察並確認屍體。 不限使用次數，但確認屍體時會更花時間。"
    "TTT_BINOC_HELP_PRI"              " %s 確認屍體。"
    "TTT_BINOC_HELP_SEC"              " %s 改變望遠鏡的放大倍率。"
    // "TTT_BINOC_ZOOM_LEVEL"                        ""
    // "TTT_BINOC_BODY"                              ""
    // UMP
    "TTT_UMP_DESC"                    "實驗型衝鋒槍，容易失去控制。 使用標準衝鋒槍彈藥。"
    // "TTT_STUNGUN_NAME"                            ""
    // DNA scanner
    "TTT_DNA_NAME"                    "DNA掃描器"
    "TTT_DNA_IDENTIFY"                "檢索屍體將能確認兇手身分。"
    "TTT_DNA_NOTFOUND"                "目標上沒有DNA樣本。"
    "TTT_DNA_LIMIT"                   "已達最大採集額度，新增前請先移除舊樣本。"
    "TTT_DNA_DECAYED"                 "兇手的DNA樣本發生衰變。"
    "TTT_DNA_KILLER"                  "成功採集到兇手的DNA樣本！"
    "TTT_DNA_NO_KILLER"               "DNA樣本無法檢索（兇手已斷線？）"
    "TTT_DNA_ARMED"                   "炸彈已啟動！趕緊拆除它！"
    "TTT_DNA_OBJECT"                  "在目標上採集到 %d 個新DNA樣本。"
    "TTT_DNA_GONE"                    "區域內沒偵測到可採集之DNA樣本。"
    "TTT_DNA_MENU_TITLE"              "DNA掃描控制器"
    "TTT_DNA_MENU_SAMPLE"             "這是 %s 的DNA樣本"
    "TTT_DNA_MENU_REMOVE"             "移除所選樣本"
    "TTT_DNA_MENU_HELP1"              "這些是您採集的DNA樣本"
    "TTT_DNA_MENU_HELP2"              "充電完畢後，您可以選取之DNA樣本，掃描其主人之準確位置。 找尋遠距離的目標將消耗更多能量。"
    "TTT_DNA_MENU_SCAN"               "掃描"
    "TTT_DNA_MENU_REPEAT"             "自動重複"
    "TTT_DNA_MENU_READY"              "準備中."
    "TTT_DNA_MENU_CHARGE"             "充電中"
    "TTT_DNA_MENU_SELECT"             "選擇樣本"
    // "TTT_DNA_HELP_PRIMARY"                            ""
    "TTT_DNA_HELP_SECONDARY"          " %s 來啟動掃描控制器"
    // "TTT_DNA_HUD_TYPE"                            ""
    // "TTT_DNA_ID_TYPE"                             ""
    // "TTT_DNA_HUD_BODY"                            ""
    // "TTT_DNA_HUD_ITEM"                            ""
    // "TTT_DNA_HUD_WEAPON"                          ""
    // "TTT_DNA_HUD_BUTTON"                          ""
    // "TTT_DNA_HUD_DOOR"                            ""
    // Magneto stick
    // "TTT_MAGNET_NAME"                                 ""
    // "TTT_DETACH_NO_ROOM"                          ""
    // "TTT_MAGWRENCH_HELP_PRI"                      ""
    // Grenades and misc
    "TTT_GRENADE_SMOKE"               "煙霧彈"
    "TTT_GRENADE_FIRE"                "燃燒彈"
    // "TTT_GRENADE_FLASH"                           ""
    // "TTT_GRENADE_DECOY"                           ""
    // "TTT_DECOYGRENADE_DESC"                       ""
    // "TTT_TRIPMINE_NAME"                           ""
    "TTT_UNARMED_NAME"                "收起武器"
    "TTT_CROWBAR_NAME"                "鐵撬"
    "TTT_PISTOL_NAME"                 "手槍"
    "TTT_RIFLE_NAME"                  "狙擊槍"
    "TTT_SHOTGUN_NAME"                "散彈槍"
    // "TTT_FRAG_NAME"                               ""
    // "TTT_FRAG_DESC"                               ""
    // "TTT_DISC_NAME"                               ""
    // "TTT_CONFGRENADE_NAME"                        ""
    // Teleporter
    "TTT_TELE_NAME"                   "傳送裝置"
    "TTT_TELE_FAILED"                 "傳送失敗"
    "TTT_TELE_MARKED"                 "傳送地點已標記"
    "TTT_TELE_NO_GROUND"              "您必須站在地面上來才能進行傳送！"
    "TTT_TELE_NO_CROUCH"              "蹲著的時候不能傳送！"
    "TTT_TELE_NO_MARK"                "請先標記傳送地點，才能進行傳送。"
    "TTT_TELE_NO_MARK_GROUND"         "您必須站在地面上才能標記傳送地點！"
    "TTT_TELE_NO_MARK_CROUCH"         "您必須站起來才能標記傳送點！"
    "TTT_TELE_HELP_PRI"               " %s 傳送到已標記之傳送地點。"
    "TTT_TELE_HELP_SEC"               " %s 標記傳送地點。"
    "TTT_TELE_DESC"                   "可以傳送到先前標記的地點。\n\n傳送器會產生噪音，而且使用次數是有限的。 "
    // Ammo names, shown when picked up
    "TTT_AMMO_PISTOL"                 "9mm手槍彈藥"
    "TTT_AMMO_SMG1"                   "衝鋒槍彈藥"
    "TTT_AMMO_BUCKSHOT"               "散彈槍彈藥"
    "TTT_AMMO_357"                    "步槍彈藥"
    "TTT_AMMO_ALYXGUN"                "沙漠之鷹彈藥"
    "TTT_AMMO_AR2ALTFIRE"             "信號彈藥"
    // HUD interface text
    "TTT_ROUND_WAIT"                  "等待中"
    "TTT_ROUND_PREP"                  "準備中"
    "TTT_ROUND_ACTIVE"                "遊戲進行中"
    "TTT_ROUND_POST"                  "回合結束"
    "TTT_OVERTIME"                    "延長時間"
    "TTT_HASTEMODE"                   "急速模式"
    // TargetID health status
    "TTT_HP_HEALTHY"                  "健康的"
    "TTT_HP_HURT"                     "輕傷的"
    "TTT_HP_WOUNDED"                  "輕重傷的"
    "TTT_HP_BADWND"                   "重傷的"
    "TTT_HP_DEATH"                    "近乎死亡"
    // TargetID karma status
    "TTT_KARMA_MAX"                   "名聲好"
    "TTT_KARMA_HIGH"                  "有點粗魯"
    "TTT_KARMA_MED"                   "扣扳機愛好者"
    "TTT_KARMA_LOW"                   "危險人物"
    "TTT_KARMA_MIN"                   "負人命債累累"
    // TargetID misc
    "TTT_CORPSE"                      "屍體"
    "TTT_CORPSE_HINT"                 "按下 %s 來搜索，用 %s + %s 進行無聲搜索。"
    "TTT_TARGET_DISG"                 " （偽裝狀態）"
    "TTT_TARGET_UNID"                 "未確認的屍體"
    "TTT_TARGET_TRAITOR"              "叛徒同夥"
    "TTT_TARGET_CREDITS"              "搜索屍體以獲取未被消耗的信用點數"
    // Traitor buttons (HUD buttons with hand icons that only traitors can see)
    "TTT_TBUT_SINGLE"                 "單獨使用"
    "TTT_TBUT_REUSE"                  "重複使用"
    "TTT_TBUT_RETIME"                 "在 %d 秒後重複使用"
    "TTT_TBUT_HELP"                   "按下 %s 鍵啟動"
    // Equipment info lines (on the left above the health/ammo panel)
    "TTT_DISG_HUD"                    "開始偽裝。\n\n您的名字已隱藏。\n"
    "TTT_RADAR_HUD"                   "雷達將在 %s 後進行下一次掃描。"
    // Spectator muting of living/dead
    "TTT_MUTE_LIVING"                 "將生存的玩家設定靜音"
    "TTT_MUTE_SPECS"                  "將旁觀者設定靜音"
    "TTT_MUTE_ALL"                    "全部靜音"
    "TTT_MUTE_OFF"                    "取消靜音"
    // Spectators and prop possession
    // "TTT_PUNCH_TITLE"                                 ""
    // "TTT_PUNCH_HELP"                                  ""
    // "TTT_PUNCH_MALUS"                                 ""
    // "TTT_PUNCH_BONUS"                                 ""
    // "TTT_SPEC_HELP"                                   ""
    // Info popups shown when the round starts
    "TTT_INFO_POPUP_INNOCENT"         "\n您是位無辜的恐怖分子！但您的周圍存在著叛徒...\n您能相信誰？誰又會乘您不備殺害您？\n注意背後並與同伴合作，努力生存下來！"
    "TTT_INFO_POPUP_DETECTIVE"        "\n您是位探長！恐怖分子總部給予您許多特殊資源以揪出叛徒。\n用它們來確保無辜者的生命，但請小心：叛徒將優先殺害您！\n按下 %s 取得裝備！"
    "TTT_INFO_POPUP_TRAITOR_ALONE"    "您是位叛徒！這回合中您沒有同伴！\n\n殺死所有其他玩家，以獲得勝利！\n\n按下 %s 取得裝備！"
    "TTT_INFO_POPUP_TRAITOR"          "\n您是位叛徒！和其他叛徒合作殺害其他所有人，以獲得勝利。\n但請小心，您的身份可能會暴露...\n您的同伴有:\n%s \n\n按下%s取得裝備！"
    // Various other text
    // "TTT_NAME_CANT_CHANGE"                        ""
    "TTT_IDLE_POPUP"                  "您閒置了 %d 秒，所以被轉往觀察者模式。\n當您位於此模式時，將不會在回合開始時重生。\n您可在任何時間取消觀察者模式，按下 %s 並在選單取消勾選「觀察者模式」即可。當然，您也可以選擇立刻關閉它。"
    "TTT_IDLE_POPUP_CLOSE"            "什麼也不做"
    "TTT_IDLE_POPUP_OFF"              "立刻關閉觀察者模式"
    "TTT_IDLE_WARNING"                "警告：您已閒置一段時間，將轉往觀察者模式。活著就要動！"
    // "TTT_SPEC_MODE_WARNING_LINE_1"                ""
    // "TTT_SPEC_MODE_WARNING_LINE_2"                ""
    // "TTT_DISABLE_SPEC_MODE"                       ""
    // Tips, shown at bottom of screen to spectators
    "TTT_TIPS_PANEL_TITLE"            "提示"
    "TTT_TIPS_PANEL_TIP"              "提示："
    "TTT_TIP1"                        "叛徒不用確認其死亡即可悄悄檢查屍體，只需對著屍體按著 %s 鍵後再按 %s 鍵即可。"
    "TTT_TIP2"                        "將C4爆炸時間設置更長，可增加引線數量，使拆彈者失敗之可能性大幅上升，且能讓C4的嗶嗶聲更輕柔、更緩慢。"
